Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,2016-12-10'
washingtondc,,Falls Church,VA,22043,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Falls Church,VA,22044,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Falls Church,VA,22046,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Falls Church,VA,22047,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
washingtondc,,Fort Belvoir,VA,22060,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Great Falls,VA,22066,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Lorton,VA,22079,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,McLean,VA,22101,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,McLean,VA,22102,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Oakton,VA,22124,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Occoquan,VA,22125,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Springfield,VA,22150,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Springfield,VA,22151,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Springfield,VA,22152,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Springfield,VA,22153,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Triangle,VA,22172,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Vienna,VA,22180,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Vienna,VA,22181,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Vienna,VA,22182,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Woodbridge,VA,22191,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Woodbridge,VA,22192,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Woodbridge,VA,22193,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Arlington,VA,22201,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Arlington,VA,22202,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Arlington,VA,22203,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Arlington,VA,22204,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Arlington,VA,22205,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Arlington,VA,22206,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Vienna,VA,22181,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Arlington,VA,22209,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Arlington,VA,22213,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Arlington,VA,22214,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
washingtondc,,Arlington,VA,22215,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
washingtondc,,Arlington,VA,22216,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
washingtondc,,Arlington,VA,22217,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
washingtondc,,Arlington,VA,22218,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
washingtondc,,Arlington,VA,22219,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
washingtondc,,Alexandria,VA,22301,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22302,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22303,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22304,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22305,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22306,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22307,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22308,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22309,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22310,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22311,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22312,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22313,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
washingtondc,,Alexandria,VA,22314,Successful,'2016-12-28',Successful,'2016-12-28'
washingtondc,,Alexandria,VA,22315,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Glen Allen,VA,23060,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Richmond,VA,23173,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23218,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23219,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Richmond,VA,23220,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Richmond,VA,23221,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Richmond,VA,23222,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Richmond,VA,23223,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Richmond,VA,23224,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Richmond,VA,23225,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Richmond,VA,23226,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Henrico,VA,23227,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Henrico,VA,23228,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Henrico,VA,23229,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Henrico,VA,23230,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Henrico,VA,23231,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Richmond,VA,23232,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Henrico,VA,23233,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Chesterfield,VA,23234,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Chesterfield,VA,23235,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Chesterfield,VA,23236,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Chesterfield,VA,23237,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Henrico,VA,23238,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Richmond,VA,23240,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23241,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Henrico,VA,23242,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23249,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Henrico,VA,23250,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Henrico,VA,23255,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23260,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23261,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23269,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23273,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23274,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23276,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23278,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23279,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23282,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23284,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23285,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23286,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Henrico,VA,23288,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23289,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23290,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23291,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23292,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23293,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Henrico,VA,23294,Successful,'2016-12-28',Successful,'2016-12-28'
richmond,,Richmond,VA,23295,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Chesterfield,VA,23297,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
richmond,,Richmond,VA,23298,Successful,'2016-12-28',FAILED,'2016-12-28',,,,,,,,,,,,,
